	sp_id	sp_hh_id	age	sex	work_id
157	158	6753	77	M	61457
158	159	28394	56	M	59039
159	160	29432	72	M	13946
160	161	13152	49	F	56641
161	162	8811	73	F	49301
162	163	29402	64	F	27529
163	164	25622	58	F	50822
164	165	14485	65	M	46808
165	166	47208	4	M	4707
166	167	35748	91	F	46746
167	168	6715	70	M	62385
168	169	37041	18	F	26733
169	170	28198	13	F	2671
170	171	25092	9	M	2299
171	172	35482	74	F	32433
172	173	24643	61	F	43315
173	174	20526	71	M	30770
174	175	12695	63	F	15345
175	176	22847	98	M	42441
176	177	41006	87	F	27491
177	178	33757	50	F	48614
178	179	5300	23	F	56573
179	180	23987	40	M	60785
180	181	4131	81	M	55680
181	182	40548	7	M	564
182	183	39234	54	M	26999
183	184	45127	33	F	26340
184	185	2799	46	F	46047
185	186	5246	69	M	47482
186	187	42353	92	F	41753
187	188	28564	42	F	21809
188	189	49001	69	M	23429
189	190	36550	18	M	39614
190	191	11536	27	M	50394
191	192	37791	43	F	28968
192	193	16940	33	M	18500
193	194	32453	18	F	15122
194	195	49509	8	F	2568
195	196	46821	96	M	37492
196	197	21946	53	M	32194
197	198	24274	46	M	36429
198	199	34618	95	F	38297
199	200	16349	63	M	36119
200	201	27802	59	M	59111
201	202	30621	74	F	50041
202	203	10920	51	M	27250
203	204	6497	16	F	3518
204	205	43730	23	M	35336
205	206	16731	47	M	16123
206	207	124	51	M	18080
207	208	46754	95	F	51726
208	209	16386	47	F	31139
209	210	20976	19	M	47387
210	211	38152	41	F	24859
211	212	31812	76	M	58605
212	213	3370	87	M	45076
213	214	42022	45	M	14502
214	215	15286	32	F	54120
215	216	27214	15	M	6482
216	217	7398	22	F	19958
217	218	28950	33	F	14332
218	219	35743	10	M	2091
219	220	21103	27	M	16105
220	221	8755	91	F	36757
221	222	33261	57	M	55430
222	223	18573	40	M	35803
223	224	1980	56	F	35458
224	225	39225	1	F	8592
225	226	14181	89	F	18343
226	227	29319	2	F	2633
227	228	47760	60	F	35776
228	229	24321	77	F	35575
229	230	34607	45	M	51405
230	231	4548	73	F	21051
231	232	9333	3	M	764
232	233	17165	89	F	49923
233	234	8169	82	F	27381
234	235	25723	12	M	7213
235	236	7590	38	F	25585
236	237	2829	52	F	59586
237	238	5897	33	F	52417
238	239	908	8	F	12156
239	240	33078	72	M	28430
240	241	9803	46	F	50152
241	242	45140	53	M	45204
242	243	10402	10	F	4130
243	244	48793	57	F	52421
244	245	19985	29	F	27167
245	246	8561	61	F	12714
246	247	6676	37	F	26957
247	248	45768	68	M	13458
248	249	38837	3	F	5868
249	250	37060	54	F	26975
250	251	38390	34	F	26845
251	252	4136	36	F	23355
252	253	19280	50	F	16151
253	254	26117	73	F	36028
254	255	40259	3	M	9030
255	256	46963	85	F	39148
256	257	23291	63	F	59238
257	258	17687	86	M	45855
258	259	2712	32	F	60739
259	260	655	59	M	34754
260	261	35063	51	M	45425
261	262	19565	13	F	1020
262	263	10148	61	M	36537
263	264	38433	57	M	14724
264	265	31746	33	F	17661
265	266	16727	55	F	24605
266	267	12203	44	M	34416
267	268	17545	90	M	59870
268	269	10295	66	F	35387
269	270	1742	64	F	42183
270	271	44921	84	F	37521
271	272	5630	3	F	3267
272	273	20505	16	M	6772
273	274	43756	42	M	51110
274	275	22799	18	F	55173
275	276	10455	26	F	61309
276	277	36054	59	M	59867
277	278	47059	86	M	56955
278	279	28945	35	F	15444
279	280	13357	20	M	17013
280	281	44510	80	F	35664
281	282	14602	94	M	53257
282	283	21669	64	F	27770
283	284	27189	54	F	40548
284	285	1666	49	M	28916
285	286	41457	20	F	55351
286	287	30284	40	M	38182
287	288	40735	43	F	35867
288	289	47850	26	F	28906
289	290	33690	23	F	41523
290	291	11705	99	F	29737
291	292	4181	59	M	32044
292	293	25683	90	F	26426
293	294	38337	57	F	41608
294	295	46870	87	F	48751
295	296	48037	41	F	44708
296	297	17252	44	M	45643
297	298	3956	7	M	9148
298	299	20742	21	M	43612
299	300	10641	32	M	46036
300	301	6472	65	F	23384
301	302	24125	73	M	52776
302	303	26977	7	F	9058
303	304	640	65	M	55698
304	305	9904	57	M	49646
305	306	47745	45	M	24087
306	307	18448	19	M	51969
307	308	40508	84	F	16798
308	309	9378	4	M	8120
309	310	31341	96	M	23882
310	311	37336	40	F	24672
311	312	48784	54	F	37290
312	313	25620	40	M	33812
313	314	15674	75	M	53765
314	315	44805	47	M	61676
315	316	24558	5	M	3075
316	317	1029	80	F	21590
317	318	44110	53	F	59235
318	319	41084	14	M	11321
319	320	904	1	M	5978
320	321	44248	36	F	58095
321	322	32984	18	F	40886
322	323	19115	14	M	2244
323	324	40129	84	F	24681
324	325	26444	45	M	34977
325	326	3071	80	F	25579
326	327	10832	10	M	2957
327	328	38085	31	M	47502
328	329	21534	3	F	8531
329	330	37009	97	F	60223
330	331	48790	7	F	9511
331	332	43609	10	F	2901
332	333	10349	87	F	32802
333	334	31986	70	F	33534
334	335	39623	53	M	16584
335	336	14354	46	M	29198
336	337	26772	98	F	35816
337	338	31452	42	M	28597
338	339	44980	28	M	43850
339	340	16264	3	M	11011
340	341	31096	43	M	62197
341	342	13786	26	F	45369
342	343	36632	63	M	46575
343	344	12507	89	M	61585
344	345	1154	71	M	22879
345	346	10636	60	F	19492
346	347	48860	51	F	33820
347	348	29484	40	M	15253
348	349	35350	62	M	14230
349	350	14284	99	M	55025
350	351	15070	18	M	39295
351	352	1664	2	F	6636
352	353	36444	25	M	17876
353	354	38	93	M	17086
354	355	40284	63	F	12803
355	356	1806	95	M	38144
356	357	34031	72	F	57018
357	358	45797	74	M	62118
358	359	47930	25	M	28320
359	360	660	60	F	46084
360	361	34185	31	M	32531
361	362	45456	26	F	51652
362	363	15190	56	M	54915
363	364	21462	35	M	56066
364	365	14929	63	M	46619
365	366	42749	60	F	24059
366	367	46656	6	F	3182
367	368	43195	64	M	34172
368	369	8518	67	F	55958
369	370	16319	4	M	233
370	371	9029	14	M	11355
371	372	25170	73	M	21364
372	373	48795	46	F	32630
373	374	4759	69	M	37426
374	375	42886	52	F	28965
375	376	32894	70	F	17474
376	377	20783	18	M	18159
377	378	20361	71	F	60277
378	379	28840	79	M	19407
379	380	8061	65	M	61321
380	381	17277	94	F	34112
381	382	18990	23	M	20555
382	383	14361	19	F	40345
383	384	45857	62	M	51723
384	385	36126	69	M	26340
385	386	39342	28	F	16614
386	387	23970	49	M	17047
387	388	44082	55	M	56904
388	389	48880	67	F	51799
389	390	30733	27	F	33663
390	391	16900	70	F	43112
391	392	7706	91	F	48179
392	393	31113	21	M	45451
393	394	686	43	F	53727
394	395	43381	23	M	56084
395	396	18844	33	F	23920
396	397	19957	81	F	21101
397	398	35238	45	F	24784
398	399	4975	89	M	47375
399	400	42172	56	M	33640
400	401	39160	70	F	43253
401	402	14760	85	F	24824
402	403	33420	35	M	25358
403	404	16043	29	M	50384
404	405	27847	78	F	41026
405	406	8936	66	F	48695
406	407	11293	47	M	61443
407	408	21010	53	M	33166
408	409	3075	66	F	47694
409	410	2891	49	F	34931
410	411	11125	69	F	50025
411	412	15577	6	M	1786
412	413	395	67	F	53050
413	414	29202	1	F	5176
414	415	36465	15	M	12447
415	416	26644	74	M	27110
416	417	34846	71	F	53190
417	418	26264	33	M	58533
418	419	46909	42	F	46712
419	420	461	68	F	25575
420	421	47619	92	F	28096
421	422	4142	52	M	30152
422	423	24920	15	F	777
423	424	23196	6	M	3599
424	425	19048	17	M	12317
425	426	8570	61	M	35171
426	427	29992	25	F	12978
427	428	48089	79	F	54825
428	429	37156	35	M	40994
429	430	9169	63	F	33572
430	431	38534	44	M	21638
431	432	1328	56	M	21540
432	433	32473	86	F	45911
433	434	4032	76	M	37877
434	435	35011	76	F	29220
435	436	21922	17	F	7197
436	437	46265	90	F	46994
437	438	48442	91	M	18896
438	439	35565	75	M	48486
439	440	928	45	M	21890
440	441	21852	38	F	39835
441	442	3908	92	M	20341
442	443	41521	35	F	18662
443	444	11002	68	F	19630
444	445	23717	8	F	10002
445	446	31842	42	M	12851
446	447	12524	49	F	50227
447	448	48222	2	F	2042
448	449	2726	77	M	45421
449	450	47559	31	M	23095
450	451	22818	48	M	22256
451	452	35112	49	M	59956
452	453	23770	85	M	35624
453	454	2669	95	F	22132
454	455	26001	50	F	27593
455	456	30772	94	F	35127
456	457	35651	36	F	49989
457	458	30522	39	F	26468
458	459	35340	38	M	19159
459	460	4375	27	M	42210
460	461	26527	85	M	25139
461	462	38934	60	M	55931
462	463	32917	21	F	40557
463	464	42536	83	F	14005
464	465	25488	24	M	35259
465	466	12267	4	M	8042
466	467	20807	41	F	23138
467	468	13431	38	M	38510
468	469	11211	33	F	23660
469	470	8880	2	F	2626
470	471	8764	24	F	21710
471	472	34259	10	M	9699
472	473	4082	86	F	52819
473	474	29981	91	M	59071
474	475	25020	45	M	28903
475	476	49837	31	F	29521
476	477	3424	48	M	39393
477	478	29535	89	F	40449
478	479	17638	76	F	60236
479	480	31951	93	M	34790
480	481	31180	1	M	4648
481	482	39109	33	M	38338
482	483	23404	9	F	6012
483	484	13037	24	F	46989
484	485	31290	97	F	48854
485	486	40269	69	M	57992
486	487	18907	50	M	54103
487	488	16299	23	M	59953
488	489	6820	87	F	13041
489	490	37905	73	F	50988
490	491	27066	41	F	57016
491	492	94	89	F	61051
492	493	29633	28	F	56621
493	494	37312	55	M	49501
494	495	32538	16	F	9019
495	496	17395	9	F	11919
496	497	4158	45	M	18234
497	498	40935	54	F	48407
498	499	40193	33	M	17738
499	500	34859	23	F	59713
500	501	40325	52	F	34556
501	502	39526	98	F	61563
502	503	6216	72	M	17634
503	504	41831	71	M	46593
504	505	23343	92	F	32419
505	506	29986	57	F	25576
506	507	25071	77	F	49664
507	508	41303	4	F	6688
508	509	36427	22	F	40079
509	510	46064	42	M	13259
510	511	11543	69	F	41380
511	512	12779	40	M	60945
512	513	10305	51	F	53898
513	514	10461	89	M	25345
514	515	23697	90	M	19518
515	516	43905	19	M	49497
516	517	22237	92	F	53115
517	518	15705	85	F	29386
518	519	9508	77	M	36832
519	520	15731	65	M	23494
520	521	40748	86	F	29413
521	522	38738	7	M	5841
522	523	23118	13	F	9378
523	524	2227	80	M	15647
524	525	28672	31	F	52221
525	526	19238	46	M	46175
526	527	3184	37	F	22384
527	528	38979	18	M	57553
528	529	23481	83	M	55907
529	530	25496	72	F	31396
530	531	10787	34	F	56585
531	532	39125	71	M	26708
532	533	25761	12	M	214
533	534	37079	77	M	35657
534	535	19475	98	M	57396
535	536	7210	9	F	2700
536	537	950	62	M	13271
537	538	32002	71	F	14857
538	539	34237	87	M	50273
539	540	12462	29	F	35568
540	541	21471	27	M	38268
541	542	24502	97	M	34050
542	543	48673	63	F	45311
543	544	12618	38	M	58284
544	545	26902	25	M	61911
545	546	13618	35	F	42178
546	547	20522	34	F	60986
547	548	43782	55	M	38945
548	549	6340	50	F	28965
549	550	39524	86	F	28408
550	551	48250	89	F	60916
551	552	11973	7	F	4379
552	553	4719	5	F	4995
553	554	48871	59	M	54371
554	555	34945	73	F	26233
555	556	44472	12	M	151
556	557	9937	95	M	37684
557	558	13674	9	M	6471
558	559	23283	34	M	28315
559	560	26044	8	F	6124
560	561	48815	71	F	23520
561	562	16697	49	M	24368
562	563	12667	7	M	1024
563	564	10246	19	F	52721
564	565	12863	71	F	22908
565	566	37575	6	F	5658
566	567	28562	40	F	46650
567	568	6347	9	M	4264
568	569	13437	22	F	46645
569	570	27834	60	F	49472
570	571	24271	53	M	51185
571	572	10836	76	M	52821
572	573	36621	27	F	40943
573	574	49641	87	F	16049
574	575	38953	25	F	61758
575	576	39896	59	F	55974
576	577	45085	37	M	51534
577	578	33764	97	F	32275
578	579	38481	96	M	61624
579	580	5109	54	F	20677
580	581	8136	94	F	60725
581	582	29734	97	F	20313
582	583	22921	1	M	5409
583	584	23472	36	F	62229
584	585	22537	63	M	59915
585	586	43386	27	M	46604
586	587	2546	49	F	27522
587	588	7211	20	F	57267
588	589	36082	71	M	12872
589	590	24164	22	M	19329
590	591	36952	57	M	58115
591	592	37827	46	F	30038
592	593	35316	65	M	21218
593	594	1061	80	M	53532
594	595	4479	31	M	60038
595	596	25286	92	M	13825
596	597	32111	51	M	13431
597	598	16556	48	M	23050
598	599	38314	13	F	6126
599	600	43376	96	M	29858
600	601	41877	41	F	44219
601	602	41700	87	M	15324
602	603	29692	79	F	32479
603	604	45215	23	M	41634
604	605	15459	67	F	15018
605	606	537	86	M	34189
606	607	44306	75	M	21134
607	608	31329	42	M	48452
608	609	18512	5	F	911
609	610	9487	27	M	51776
610	611	37225	95	F	50998
611	612	49741	39	M	59591
612	613	3312	61	F	30151
613	614	32124	37	M	61921
614	615	14635	97	M	51808
615	616	27905	40	F	56740
616	617	37057	6	F	8037
617	618	49260	38	M	28630
618	619	42954	90	F	30741
619	620	13842	61	M	36564
620	621	39150	98	M	17916
621	622	24934	74	M	19667
622	623	8228	1	M	1368
623	624	26458	3	M	7261
624	625	33366	80	F	39813
625	626	28980	4	M	1784
626	627	34586	22	M	32608
627	628	19121	6	M	12212
628	629	46360	29	M	44786
629	630	7836	98	M	45355
630	631	5998	99	F	44041
631	632	20948	58	M	27929
632	633	15263	8	F	389
633	634	22721	71	F	58617
634	635	22708	38	M	36629
635	636	12690	2	F	6812
636	637	44317	87	F	42910
637	638	6678	62	F	54389
638	639	42068	45	M	39711
639	640	43907	9	M	1549
640	641	15267	33	M	40954
641	642	43503	38	F	25442
642	643	46147	78	F	38803
643	644	7938	17	F	4185
644	645	32037	7	F	5677
645	646	44112	26	F	52769
646	647	25644	71	F	15337
647	648	13489	48	F	12910
648	649	7081	49	F	26624
649	650	21119	44	F	22903
650	651	14267	30	F	37341
651	652	41813	3	M	713
652	653	5661	57	M	31342
653	654	10847	26	M	26830
654	655	31082	84	M	15720
655	656	1232	61	M	30315
656	657	1064	64	M	40702
657	658	17737	90	F	23108
658	659	40856	24	M	14283
659	660	23366	38	M	53945
660	661	37727	49	F	56937
661	662	24390	71	F	19691
662	663	27759	28	F	49278
663	664	254	38	F	30848
664	665	33	43	F	17349
665	666	41819	13	M	526
666	667	4985	81	M	52117
667	668	48024	99	F	53159
668	669	47527	64	F	52221
669	670	460	15	F	5100
670	671	4872	81	F	29135
671	672	25166	47	M	35383
672	673	1335	93	M	45149
673	674	28789	77	M	43586
674	675	37206	20	M	40744
675	676	19025	58	M	31172
676	677	40040	10	M	10484
677	678	21376	40	M	23134
678	679	27961	23	M	61593
679	680	14983	65	F	25017
680	681	28181	9	F	3230
681	682	13855	48	F	33518
682	683	30802	17	F	5076
683	684	8589	36	M	40077
684	685	39992	55	M	50691
685	686	15997	79	M	60880
686	687	41756	20	M	50585
687	688	6135	64	F	19640
688	689	1572	76	F	51412
689	690	2688	39	F	53320
690	691	39493	9	M	5380
691	692	46636	19	F	40092
692	693	12212	90	F	36546
693	694	23203	30	F	14002
694	695	6912	42	M	29126
695	696	4515	47	F	45416
696	697	5276	12	F	11373
697	698	45101	78	F	49801
698	699	22971	68	F	30784
699	700	36206	18	F	49341
700	701	26066	46	F	34836
701	702	44657	46	M	36627
702	703	25732	90	M	48109
703	704	3817	17	M	3402
704	705	46388	1	F	1669
705	706	40375	39	M	23882
706	707	42404	18	M	57180
707	708	41740	37	F	46184
708	709	39159	33	M	41109
709	710	20814	60	M	38261
710	711	38900	42	F	34624
711	712	30518	88	F	28455
712	713	31829	59	F	59852
713	714	2913	14	M	11586
714	715	26893	35	F	54307
715	716	7092	48	M	48392
716	717	22533	24	M	12849
717	718	41334	92	M	22669
718	719	48578	59	M	61814
719	720	24005	4	F	8239
720	721	3103	56	F	15936
721	722	30738	80	M	23835
722	723	37426	27	F	14513
723	724	39807	88	M	32883
724	725	17127	44	M	52542
725	726	20107	57	F	35964
726	727	34721	96	F	51592
727	728	9007	85	M	16613
728	729	7198	54	F	43290
729	730	7177	66	F	45505
730	731	38050	28	M	61481
731	732	10169	19	F	46271
732	733	16046	64	F	51009
733	734	13211	73	F	39975
734	735	44355	72	M	55404
735	736	25662	24	F	44369
736	737	9024	14	F	671
737	738	38634	16	F	11167
738	739	1054	46	M	28014
739	740	27044	85	M	19562
740	741	10267	77	M	56915
741	742	29445	24	M	41065
742	743	29565	52	F	23975
743	744	47930	48	M	17685
744	745	35399	35	F	37139
745	746	15655	83	M	29172
746	747	24276	89	M	26899
747	748	21305	12	M	12040
748	749	45050	98	M	14793
749	750	4326	18	F	17171
750	751	33280	14	F	4116
751	752	16407	89	F	14326
752	753	39777	73	M	13945
753	754	10851	5	M	4839
754	755	6296	39	F	46717
755	756	15481	47	M	31535
756	757	7119	9	M	6839
757	758	4613	88	F	58644
758	759	2776	50	F	51659
759	760	14780	27	M	60401
760	761	20567	55	F	25918
761	762	38176	28	M	55142
762	763	25219	3	F	10016
763	764	36063	32	F	27271
764	765	37049	66	F	43326
765	766	599	17	F	4948
766	767	44694	21	F	34966
767	768	47165	7	F	6774
768	769	16794	57	F	25743
769	770	2045	9	M	7099
770	771	36316	68	F	35777
771	772	8210	99	F	50131
772	773	34332	28	F	33539
773	774	29492	41	M	51672
774	775	9550	1	M	5299
775	776	11408	51	F	52283
776	777	19779	58	F	60369
777	778	34034	98	M	57894
778	779	10725	40	F	52389
779	780	33741	34	M	21967
780	781	40665	9	M	2683
781	782	2112	71	M	36886
782	783	34019	32	F	53424
783	784	47718	80	F	15197
784	785	17642	79	M	62276
785	786	13674	60	F	49900
786	787	12808	14	M	4818
787	788	44172	42	M	41221
788	789	31080	44	M	35396
789	790	11328	83	M	47755
790	791	31069	62	M	43160
791	792	11708	94	M	42458
792	793	30696	27	M	46938
793	794	7909	29	M	49196
794	795	43340	69	M	26404
795	796	719	36	F	17608
796	797	16204	52	F	24531
797	798	33291	4	M	6278
798	799	28726	59	M	40713
799	800	41229	54	F	54176
800	801	16966	19	M	49245
801	802	28041	20	F	39486
802	803	36171	51	M	55029
803	804	17253	61	M	20013
804	805	13501	83	F	20577
805	806	43529	73	F	51640
806	807	10457	75	M	32168
807	808	42777	38	F	31372
808	809	37718	70	M	59338
809	810	1532	63	F	62160
810	811	25699	11	M	6964
811	812	21940	98	F	61573
812	813	16548	24	F	22099
813	814	31043	93	F	60574
814	815	25387	41	M	19355
815	816	33603	17	M	12081
816	817	38940	51	M	38910
817	818	29999	72	M	22047
818	819	22232	41	M	44706
819	820	49920	92	F	19598
820	821	13202	72	F	57674
821	822	40185	67	M	46515
822	823	21015	85	M	53265
823	824	19863	65	M	28184
824	825	30815	50	F	39596
825	826	49589	91	F	55129
826	827	7369	1	F	7609
827	828	38587	30	F	47333
828	829	43845	38	M	26980
829	830	44996	28	F	29010
830	831	28538	14	M	9371
831	832	34692	67	F	61299
832	833	7394	47	F	44011
833	834	28587	23	F	55324
834	835	49313	22	F	34601
835	836	33216	28	F	56128
836	837	28266	81	M	32493
837	838	46537	80	F	52228
838	839	8232	52	M	26094
839	840	42830	19	F	18785
840	841	21679	54	M	12872
841	842	22608	96	M	30036
842	843	49288	52	M	36911
843	844	37909	43	M	50093
844	845	46334	26	F	16529
845	846	5814	69	F	28574
846	847	44812	88	F	60555
847	848	27866	60	M	24977
848	849	30672	57	M	15125
849	850	5127	53	M	29829
850	851	8552	66	M	51174
851	852	43143	94	M	46013
852	853	47915	49	M	27283
853	854	16917	37	M	18784
854	855	36327	54	F	49077
855	856	18466	15	M	702
856	857	43091	37	M	41547
857	858	5007	36	M	22232
858	859	4969	74	F	29535
859	860	13045	71	F	14002
860	861	30837	74	F	40800
861	862	24683	57	M	53454
862	863	26658	17	M	4744
863	864	18485	43	F	61019
864	865	28913	7	F	12380
865	866	34638	85	M	41906
866	867	1569	66	M	59244
867	868	20299	28	M	39926
868	869	27400	79	M	31375
869	870	10268	25	F	61394
870	871	38607	50	F	35185
871	872	33061	34	M	56742
872	873	23972	65	F	46442
873	874	22651	89	F	34863
874	875	35585	15	F	11840
875	876	49739	94	M	22205
876	877	12595	72	F	37278
877	878	32471	73	F	32990
878	879	10031	83	M	53816
879	880	12713	61	F	13273
880	881	12675	19	M	14177
881	882	47022	67	F	37658
882	883	16974	34	F	23715
883	884	35648	73	F	44715
884	885	8425	89	M	35832
885	886	32805	57	F	12977
886	887	31382	84	M	14406
887	888	4577	60	F	42186
888	889	26300	49	M	51441
889	890	21605	22	M	20231
890	891	18309	61	M	13703
891	892	33283	68	M	25223
892	893	37432	7	M	6276
893	894	21704	34	F	34002
894	895	12809	10	M	9892
895	896	28137	11	M	559
896	897	13976	93	M	18288
897	898	24485	22	F	47856
898	899	13684	94	F	41707
899	900	38671	87	F	20110
900	901	1122	71	F	46467
901	902	7083	41	F	13635
902	903	91	55	F	20243
903	904	4676	70	F	30863
904	905	21017	15	M	1908
905	906	34365	8	F	4655
906	907	32984	59	M	19028
907	908	17335	90	F	48939
908	909	40779	81	F	43940
909	910	49151	99	M	37677
910	911	16839	59	F	38061
911	912	36539	93	M	30529
912	913	26083	95	M	55877
913	914	45761	32	M	26249
914	915	29871	68	M	42173
915	916	25245	53	F	44856
916	917	3533	54	M	47822
917	918	24164	31	M	59444
918	919	21361	63	F	48300
919	920	20788	40	F	33078
920	921	19245	85	M	44710
921	922	9488	88	M	32468
922	923	3605	30	M	20461
923	924	31991	18	M	48732
924	925	48799	29	F	20808
925	926	26504	53	M	35999
926	927	33687	42	F	25643
927	928	4921	38	M	48965
928	929	37419	17	F	6870
929	930	8312	3	F	979
930	931	42643	21	F	52428
931	932	38082	83	M	45695
932	933	30334	8	M	3696
933	934	15755	15	F	11868
934	935	4725	93	F	44626
935	936	1396	88	F	47011
936	937	42794	86	F	15680
937	938	2974	33	M	53233
938	939	34765	69	F	45421
939	940	17219	69	M	49234
940	941	5048	63	M	28172
941	942	26802	65	M	37537
942	943	1972	69	M	59014
943	944	36344	61	M	32153
944	945	29877	84	F	15890
945	946	39887	23	F	25480
946	947	21911	93	M	26978
947	948	1353	8	M	12173
948	949	38281	41	M	37058
949	950	49960	65	F	18703
950	951	18331	41	M	20338
951	952	5612	54	F	30958
952	953	7158	26	F	15928
953	954	7400	97	M	20384
954	955	25661	28	M	28789
955	956	15946	24	F	55031
956	957	42563	29	F	51925
957	958	25464	63	F	56713
958	959	32898	25	F	22909
959	960	26162	64	F	19408
960	961	42352	27	M	55093
961	962	47840	29	M	20372
962	963	24568	89	F	34190
963	964	46839	10	F	927
964	965	11397	93	M	43969
965	966	37492	19	F	17140
966	967	857	3	M	2548
967	968	6719	34	M	61658
968	969	31779	59	M	33676
969	970	28958	28	F	34646
970	971	18452	69	M	40415
971	972	49580	95	F	34169
972	973	35824	86	F	29682
973	974	5255	92	F	25626
974	975	14198	63	M	21003
975	976	11513	10	M	3997
976	977	29537	21	M	42737
977	978	14667	3	M	9142
978	979	30378	19	M	44207
979	980	7891	80	M	16450
980	981	36365	93	M	24499
981	982	45769	73	F	55913
982	983	32582	58	F	37417
983	984	2624	49	M	36931
984	985	109	49	F	46166
985	986	24207	21	F	47682
986	987	36094	89	M	43654
987	988	28867	70	M	61813
988	989	44228	91	F	20866
989	990	48475	70	F	21475
990	991	46126	34	F	17350
991	992	11978	26	M	45737
992	993	12794	74	M	37136
993	994	23223	10	M	8185
994	995	1810	80	M	34147
995	996	24584	2	M	12271
996	997	24239	56	F	28256
997	998	38928	46	F	23565
998	999	48753	26	M	58374
