sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
445039	19	62	M	1	0	X	X
761829	19	36	F	1	0	X	X
1158380	19	100	F	1	0	X	X
866391	19	47	F	1	0	X	X
1107411	19	75	F	1	0	X	X
211093	19	33	M	1	0	X	X
704995	19	30	F	1	0	X	X
772109	19	37	F	1	0	X	X
211092	19	33	M	1	0	X	X
772108	19	37	F	1	0	X	X
476679	19	67	M	1	0	X	X
211091	19	33	M	1	0	X	X
761828	19	36	F	1	0	X	X
772107	19	37	F	1	0	X	X
801729	19	40	F	1	0	X	X
801728	19	40	F	1	0	X	X
721636	19	32	F	1	0	X	X
984335	26	61	F	1	0	X	X
377442	26	52	M	1	0	X	X
28471	26	5	M	1	0	X	X
866396	26	47	F	1	0	X	X
910110	26	52	F	1	0	X	X
464730	26	65	M	1	0	X	X
280975	26	40	M	1	0	X	X
103985	26	16	M	1	0	X	X
984336	26	61	F	1	0	X	X
1085352	26	72	F	1	0	X	X
601183	26	11	F	1	0	X	X
601182	26	11	F	1	0	X	X
458264	26	64	M	1	0	X	X
984337	26	61	F	1	0	X	X
875335	26	48	F	1	0	X	X
1003945	26	63	F	1	0	X	X
339281	26	47	M	1	0	X	X
1133738	26	82	F	1	0	X	X
801736	26	40	F	1	0	X	X
975000	26	60	F	1	0	X	X
137448	26	22	M	1	0	X	X
587721	26	9	F	1	0	X	X
15862	26	3	M	1	0	X	X
416353	26	58	M	1	0	X	X
751418	26	35	F	1	0	X	X
1093729	26	73	F	1	0	X	X
957061	26	58	F	1	0	X	X
917924	26	53	F	1	0	X	X
751417	26	35	F	1	0	X	X
751416	26	35	F	1	0	X	X
314978	26	44	M	1	0	X	X
492789	26	70	M	1	0	X	X
492790	26	70	M	1	0	X	X
691602	26	28	F	1	0	X	X
132130	26	21	M	1	0	X	X
1142670	26	84	F	1	0	X	X
451731	26	63	M	1	0	X	X
801735	26	40	F	1	0	X	X
1085353	26	72	F	1	0	X	X
476682	26	67	M	1	0	X	X
272007	26	39	M	1	0	X	X
51158	26	8	M	1	0	X	X
680166	26	26	F	1	0	X	X
147738	26	24	M	1	0	X	X
518737	26	78	M	1	0	X	X
502100	26	72	M	1	0	X	X
470649	26	66	M	1	0	X	X
170219	26	28	M	1	0	X	X
72862	26	11	M	1	0	X	X
517629	26	77	M	1	0	X	X
892850	26	50	F	1	0	X	X
925642	26	54	F	1	0	X	X
445045	26	62	M	1	0	X	X
532119	26	0	F	1	0	X	X
289670	26	41	M	1	0	X	X
712886	26	31	F	1	0	X	X
646414	26	19	F	1	0	X	X
437269	26	61	M	1	0	X	X
85722	26	13	M	1	0	X	X
92339	26	14	M	1	0	X	X
1152322	26	88	F	1	0	X	X
624764	26	15	F	1	0	X	X
1050892	26	68	F	1	0	X	X
262159	26	38	M	1	0	X	X
262160	26	38	M	1	0	X	X
731034	26	33	F	1	0	X	X
731035	26	33	F	1	0	X	X
731036	26	33	F	1	0	X	X
619132	26	14	F	1	0	X	X
289669	26	41	M	1	0	X	X
369627	26	51	M	1	0	X	X
221156	26	34	M	1	0	X	X
221157	26	34	M	1	0	X	X
92338	26	14	M	1	0	X	X
176663	26	29	M	1	0	X	X
497562	26	71	M	1	0	X	X
85723	26	13	M	1	0	X	X
1121312	26	79	F	1	0	X	X
994480	26	62	F	1	0	X	X
607289	26	12	F	1	0	X	X
184303	26	30	M	1	0	X	X
1121313	26	79	F	1	0	X	X
1003946	26	63	F	1	0	X	X
1138369	26	83	F	1	0	X	X
948936	26	57	F	1	0	X	X
1003944	26	63	F	1	0	X	X
58578	26	9	M	1	0	X	X
975005	30	60	F	1	0	X	X
211103	30	33	M	1	0	X	X
1138372	30	83	F	1	0	X	X
1041479	30	67	F	1	0	X	X
103988	30	16	M	1	0	X	X
1068451	30	70	F	1	0	X	X
35940	30	6	M	1	0	X	X
811062	30	41	F	1	0	X	X
1032191	30	66	F	1	0	X	X
901422	30	51	F	1	0	X	X
423083	30	59	M	1	0	X	X
630107	30	16	F	1	0	X	X
630106	30	16	F	1	0	X	X
761838	30	36	F	1	0	X	X
354472	30	49	M	1	0	X	X
492792	30	70	M	1	0	X	X
1093736	30	73	F	1	0	X	X
5202	30	1	M	1	0	X	X
109605	30	17	M	1	0	X	X
884106	30	49	F	1	0	X	X
957064	30	58	F	1	0	X	X
740910	30	34	F	1	0	X	X
740911	30	34	F	1	0	X	X
409861	30	57	M	1	0	X	X
1142672	30	84	F	1	0	X	X
492793	30	70	M	1	0	X	X
547126	30	3	F	1	0	X	X
731042	30	33	F	1	0	X	X
948940	30	57	F	1	0	X	X
670598	30	24	F	1	0	X	X
731043	30	33	F	1	0	X	X
801737	30	40	F	1	0	X	X
322975	30	45	M	1	0	X	X
875342	30	48	F	1	0	X	X
314982	30	44	M	1	0	X	X
280978	30	40	M	1	0	X	X
502104	30	72	M	1	0	X	X
280979	30	40	M	1	0	X	X
176665	30	29	M	1	0	X	X
51162	30	8	M	1	0	X	X
339282	30	47	M	1	0	X	X
272014	30	39	M	1	0	X	X
965907	30	59	F	1	0	X	X
272013	30	39	M	1	0	X	X
121293	30	19	M	1	0	X	X
940786	30	56	F	1	0	X	X
820742	30	42	F	1	0	X	X
801738	30	40	F	1	0	X	X
289674	30	41	M	1	0	X	X
126873	30	20	M	1	0	X	X
1077064	30	71	F	1	0	X	X
1121314	30	79	F	1	0	X	X
1121315	30	79	F	1	0	X	X
875340	30	48	F	1	0	X	X
607295	30	12	F	1	0	X	X
917929	30	53	F	1	0	X	X
875341	30	48	F	1	0	X	X
289675	30	41	M	1	0	X	X
801739	30	40	F	1	0	X	X
437274	30	61	M	1	0	X	X
437273	30	61	M	1	0	X	X
847662	30	45	F	1	0	X	X
1133744	30	82	F	1	0	X	X
201701	30	32	M	1	0	X	X
651579	30	20	F	1	0	X	X
396719	30	55	M	1	0	X	X
1153327	30	89	F	1	0	X	X
1059526	30	69	F	1	0	X	X
838729	30	44	F	1	0	X	X
79269	30	12	M	1	0	X	X
580897	30	8	F	1	0	X	X
184306	30	30	M	1	0	X	X
531560	30	92	M	1	0	X	X
458267	30	64	M	1	0	X	X
580898	30	8	F	1	0	X	X
242163	30	36	M	1	0	X	X
601187	30	11	F	1	0	X	X
1100956	30	74	F	1	0	X	X
22023	30	4	M	1	0	X	X
22024	30	4	M	1	0	X	X
829784	30	43	F	1	0	X	X
506365	30	73	M	1	0	X	X
506366	30	73	M	1	0	X	X
751426	30	35	F	1	0	X	X
1059525	30	69	F	1	0	X	X
58581	30	9	M	1	0	X	X
530500	30	88	M	1	0	X	X
10360	30	2	M	1	0	X	X
751428	30	35	F	1	0	X	X
751427	30	35	F	1	0	X	X
587726	30	9	F	1	0	X	X
705003	30	30	F	1	0	X	X
761839	30	36	F	1	0	X	X
458266	30	64	M	1	0	X	X
262166	30	38	M	1	0	X	X
587727	30	9	F	1	0	X	X
587728	30	9	F	1	0	X	X
1149154	30	86	F	1	0	X	X
1149155	30	86	F	1	0	X	X
933199	30	55	F	1	0	X	X
1059524	30	69	F	1	0	X	X
1050897	30	68	F	1	0	X	X
51163	31	8	M	1	0	X	X
656309	31	21	F	1	0	X	X
811063	31	41	F	1	0	X	X
656310	31	21	F	1	0	X	X
51164	31	8	M	1	0	X	X
875344	31	48	F	1	0	X	X
58583	31	9	M	1	0	X	X
661245	31	22	F	1	0	X	X
661244	31	22	F	1	0	X	X
152770	31	25	M	1	0	X	X
1059528	31	69	F	1	0	X	X
1059527	31	69	F	1	0	X	X
697801	31	29	F	1	0	X	X
697802	31	29	F	1	0	X	X
58582	31	9	M	1	0	X	X
697803	31	29	F	1	0	X	X
339283	31	47	M	1	0	X	X
252250	31	37	M	1	0	X	X
252251	31	37	M	1	0	X	X
811064	31	41	F	1	0	X	X
875343	31	48	F	1	0	X	X
464734	31	65	M	1	0	X	X
58584	31	9	M	1	0	X	X
697804	31	29	F	1	0	X	X
811065	31	41	F	1	0	X	X
347092	31	48	M	1	0	X	X
656308	31	21	F	1	0	X	X
646416	31	19	F	1	0	X	X
396723	31	55	M	1	0	X	X
396722	31	55	M	1	0	X	X
396721	31	55	M	1	0	X	X
396720	31	55	M	1	0	X	X
409864	31	57	M	1	0	X	X
409863	31	57	M	1	0	X	X
409862	31	57	M	1	0	X	X
761840	31	36	F	1	0	X	X
170226	31	28	M	1	0	X	X
170225	31	28	M	1	0	X	X
170224	31	28	M	1	0	X	X
957065	31	58	F	1	0	X	X
541899	31	2	F	1	0	X	X
705004	31	30	F	1	0	X	X
705005	31	30	F	1	0	X	X
403298	31	56	M	1	0	X	X
403299	31	56	M	1	0	X	X
685688	31	27	F	1	0	X	X
580899	31	8	F	1	0	X	X
580900	31	8	F	1	0	X	X
641098	31	18	F	1	0	X	X
641097	31	18	F	1	0	X	X
641096	31	18	F	1	0	X	X
347094	31	48	M	1	0	X	X
680168	31	26	F	1	0	X	X
403297	31	56	M	1	0	X	X
646417	31	19	F	1	0	X	X
646418	31	19	F	1	0	X	X
957066	31	58	F	1	0	X	X
92343	31	14	M	1	0	X	X
92344	31	14	M	1	0	X	X
451735	31	63	M	1	0	X	X
451734	31	63	M	1	0	X	X
451733	31	63	M	1	0	X	X
451732	31	63	M	1	0	X	X
492796	31	70	M	1	0	X	X
92345	31	14	M	1	0	X	X
176666	31	29	M	1	0	X	X
176667	31	29	M	1	0	X	X
176668	31	29	M	1	0	X	X
176669	31	29	M	1	0	X	X
347093	31	48	M	1	0	X	X
1023101	31	65	F	1	0	X	X
1023102	31	65	F	1	0	X	X
492795	31	70	M	1	0	X	X
492794	31	70	M	1	0	X	X
1023103	31	65	F	1	0	X	X
221161	31	34	M	1	0	X	X
221160	31	34	M	1	0	X	X
85724	31	13	M	1	0	X	X
482421	31	68	M	1	0	X	X
98273	31	15	M	1	0	X	X
957068	31	58	F	1	0	X	X
957067	31	58	F	1	0	X	X
98274	31	15	M	1	0	X	X
98275	31	15	M	1	0	X	X
451736	31	63	M	1	0	X	X
531305	31	91	M	1	0	X	X
158196	31	26	M	1	0	X	X
537020	31	1	F	1	0	X	X
984349	31	61	F	1	0	X	X
984350	31	61	F	1	0	X	X
994488	31	62	F	1	0	X	X
829785	31	43	F	1	0	X	X
458269	31	64	M	1	0	X	X
458268	31	64	M	1	0	X	X
28474	31	5	M	1	0	X	X
917930	31	53	F	1	0	X	X
910120	31	52	F	1	0	X	X
910119	31	52	F	1	0	X	X
910118	31	52	F	1	0	X	X
910117	31	52	F	1	0	X	X
280982	31	40	M	1	0	X	X
280981	31	40	M	1	0	X	X
280980	31	40	M	1	0	X	X
1077065	31	71	F	1	0	X	X
142573	31	23	M	1	0	X	X
559234	31	5	F	1	0	X	X
559235	31	5	F	1	0	X	X
559236	31	5	F	1	0	X	X
559237	31	5	F	1	0	X	X
984348	31	61	F	1	0	X	X
984347	31	61	F	1	0	X	X
984346	31	61	F	1	0	X	X
984345	31	61	F	1	0	X	X
164128	31	27	M	1	0	X	X
164127	31	27	M	1	0	X	X
164126	31	27	M	1	0	X	X
289678	31	41	M	1	0	X	X
289677	31	41	M	1	0	X	X
289676	31	41	M	1	0	X	X
553143	31	4	F	1	0	X	X
553144	31	4	F	1	0	X	X
607297	31	12	F	1	0	X	X
607296	31	12	F	1	0	X	X
559238	31	5	F	1	0	X	X
1121316	31	79	F	1	0	X	X
126874	31	20	M	1	0	X	X
126875	31	20	M	1	0	X	X
377447	31	52	M	1	0	X	X
1013537	31	64	F	1	0	X	X
1013536	31	64	F	1	0	X	X
721646	31	32	F	1	0	X	X
721647	31	32	F	1	0	X	X
721648	31	32	F	1	0	X	X
601188	31	11	F	1	0	X	X
509956	31	74	M	1	0	X	X
65920	31	10	M	1	0	X	X
847663	31	45	F	1	0	X	X
772121	31	37	F	1	0	X	X
866400	31	47	F	1	0	X	X
10365	31	2	M	1	0	X	X
587729	31	9	F	1	0	X	X
838731	31	44	F	1	0	X	X
838730	31	44	F	1	0	X	X
587730	31	9	F	1	0	X	X
242164	31	36	M	1	0	X	X
242165	31	36	M	1	0	X	X
390453	31	54	M	1	0	X	X
675144	31	25	F	1	0	X	X
1119011	31	78	F	1	0	X	X
1119010	31	78	F	1	0	X	X
137450	31	22	M	1	0	X	X
691607	31	28	F	1	0	X	X
691606	31	28	F	1	0	X	X
691605	31	28	F	1	0	X	X
1100957	31	74	F	1	0	X	X
1100958	31	74	F	1	0	X	X
1100959	31	74	F	1	0	X	X
1100960	31	74	F	1	0	X	X
242166	31	36	M	1	0	X	X
242167	31	36	M	1	0	X	X
10364	31	2	M	1	0	X	X
10363	31	2	M	1	0	X	X
10362	31	2	M	1	0	X	X
10361	31	2	M	1	0	X	X
132134	31	21	M	1	0	X	X
801745	31	40	F	1	0	X	X
801744	31	40	F	1	0	X	X
801743	31	40	F	1	0	X	X
801742	31	40	F	1	0	X	X
801741	31	40	F	1	0	X	X
801740	31	40	F	1	0	X	X
322976	31	45	M	1	0	X	X
322977	31	45	M	1	0	X	X
322978	31	45	M	1	0	X	X
866401	31	47	F	1	0	X	X
502105	31	72	M	1	0	X	X
272020	31	39	M	1	0	X	X
272019	31	39	M	1	0	X	X
272018	31	39	M	1	0	X	X
272017	31	39	M	1	0	X	X
272016	31	39	M	1	0	X	X
272015	31	39	M	1	0	X	X
594694	31	10	F	1	0	X	X
594693	31	10	F	1	0	X	X
594692	31	10	F	1	0	X	X
416356	31	58	M	1	0	X	X
502106	31	72	M	1	0	X	X
975006	31	60	F	1	0	X	X
613220	31	13	F	1	0	X	X
201703	31	32	M	1	0	X	X
527498	31	84	M	1	0	X	X
792385	31	39	F	1	0	X	X
109606	31	17	M	1	0	X	X
109607	31	17	M	1	0	X	X
109608	31	17	M	1	0	X	X
15866	31	3	M	1	0	X	X
884107	31	49	F	1	0	X	X
884108	31	49	F	1	0	X	X
740912	31	34	F	1	0	X	X
740913	31	34	F	1	0	X	X
306965	31	43	M	1	0	X	X
306964	31	43	M	1	0	X	X
306963	31	43	M	1	0	X	X
306962	31	43	M	1	0	X	X
306961	31	43	M	1	0	X	X
306960	31	43	M	1	0	X	X
362174	31	50	M	1	0	X	X
362175	31	50	M	1	0	X	X
362176	31	50	M	1	0	X	X
513280	31	75	M	1	0	X	X
1138373	31	83	F	1	0	X	X
354476	31	49	M	1	0	X	X
354475	31	49	M	1	0	X	X
354474	31	49	M	1	0	X	X
354473	31	49	M	1	0	X	X
43647	31	7	M	1	0	X	X
5203	31	1	M	1	0	X	X
5204	31	1	M	1	0	X	X
5205	31	1	M	1	0	X	X
892857	31	50	F	1	0	X	X
901423	31	51	F	1	0	X	X
72864	31	11	M	1	0	X	X
925646	31	54	F	1	0	X	X
925647	31	54	F	1	0	X	X
1129169	31	81	F	1	0	X	X
1138374	31	83	F	1	0	X	X
1129168	31	81	F	1	0	X	X
35941	31	6	M	1	0	X	X
1032195	31	66	F	1	0	X	X
1032194	31	66	F	1	0	X	X
1032193	31	66	F	1	0	X	X
1032192	31	66	F	1	0	X	X
35942	31	6	M	1	0	X	X
35943	31	6	M	1	0	X	X
35944	31	6	M	1	0	X	X
35945	31	6	M	1	0	X	X
423084	31	59	M	1	0	X	X
1129167	31	81	F	1	0	X	X
201702	31	32	M	1	0	X	X
1138375	31	83	F	1	0	X	X
331051	31	46	M	1	0	X	X
731053	31	33	F	1	0	X	X
731052	31	33	F	1	0	X	X
731051	31	33	F	1	0	X	X
369631	31	51	M	1	0	X	X
369632	31	51	M	1	0	X	X
369633	31	51	M	1	0	X	X
573656	31	7	F	1	0	X	X
731050	31	33	F	1	0	X	X
731049	31	33	F	1	0	X	X
731048	31	33	F	1	0	X	X
731047	31	33	F	1	0	X	X
731046	31	33	F	1	0	X	X
731045	31	33	F	1	0	X	X
731044	31	33	F	1	0	X	X
670599	31	24	F	1	0	X	X
670600	31	24	F	1	0	X	X
670601	31	24	F	1	0	X	X
573657	31	7	F	1	0	X	X
940787	31	56	F	1	0	X	X
940788	31	56	F	1	0	X	X
940789	31	56	F	1	0	X	X
731054	31	33	F	1	0	X	X
751429	31	35	F	1	0	X	X
751430	31	35	F	1	0	X	X
262167	31	38	M	1	0	X	X
547127	31	3	F	1	0	X	X
547128	31	3	F	1	0	X	X
948941	31	57	F	1	0	X	X
547129	31	3	F	1	0	X	X
158197	31	26	M	1	0	X	X
1107417	31	75	F	1	0	X	X
298436	31	42	M	1	0	X	X
298435	31	42	M	1	0	X	X
532122	31	0	F	1	0	X	X
782082	31	38	F	1	0	X	X
1138376	31	83	F	1	0	X	X
782081	31	38	F	1	0	X	X
79270	31	12	M	1	0	X	X
79271	31	12	M	1	0	X	X
79272	31	12	M	1	0	X	X
79273	31	12	M	1	0	X	X
79274	31	12	M	1	0	X	X
1003952	31	63	F	1	0	X	X
933200	31	55	F	1	0	X	X
751431	31	35	F	1	0	X	X
1050899	31	68	F	1	0	X	X
1050898	31	68	F	1	0	X	X
184307	31	30	M	1	0	X	X
1107418	31	75	F	1	0	X	X
15865	31	3	M	1	0	X	X
470652	31	66	M	1	0	X	X
476685	31	67	M	1	0	X	X
8	31	0	M	1	0	X	X
1085359	31	72	F	1	0	X	X
1093739	31	73	F	1	0	X	X
1093738	31	73	F	1	0	X	X
1093737	31	73	F	1	0	X	X
1149157	31	86	F	1	0	X	X
476686	31	67	M	1	0	X	X
437275	31	61	M	1	0	X	X
1068453	31	70	F	1	0	X	X
470653	31	66	M	1	0	X	X
470651	31	66	M	1	0	X	X
437278	31	61	M	1	0	X	X
437277	31	61	M	1	0	X	X
231530	31	35	M	1	0	X	X
437276	31	61	M	1	0	X	X
1149156	31	86	F	1	0	X	X
476687	31	67	M	1	0	X	X
9	31	0	M	1	0	X	X
965911	31	59	F	1	0	X	X
665830	31	23	F	1	0	X	X
1146319	31	85	F	1	0	X	X
965912	31	59	F	1	0	X	X
965910	31	59	F	1	0	X	X
965909	31	59	F	1	0	X	X
1068452	31	70	F	1	0	X	X
965908	31	59	F	1	0	X	X
192413	31	31	M	1	0	X	X
192414	31	31	M	1	0	X	X
242169	33	36	M	1	0	X	X
866404	33	47	F	1	0	X	X
594695	33	10	F	1	0	X	X
892858	33	50	F	1	0	X	X
675145	33	25	F	1	0	X	X
866405	33	47	F	1	0	X	X
10	33	0	M	1	0	X	X
1085361	33	72	F	1	0	X	X
109610	33	17	M	1	0	X	X
675146	33	25	F	1	0	X	X
522816	33	81	M	1	0	X	X
875345	33	48	F	1	0	X	X
347097	33	48	M	1	0	X	X
377449	33	52	M	1	0	X	X
211104	33	33	M	1	0	X	X
601190	33	11	F	1	0	X	X
22026	33	4	M	1	0	X	X
792386	33	39	F	1	0	X	X
601189	33	11	F	1	0	X	X
910121	33	52	F	1	0	X	X
910122	33	52	F	1	0	X	X
1138377	33	83	F	1	0	X	X
15868	33	3	M	1	0	X	X
383962	33	53	M	1	0	X	X
176670	33	29	M	1	0	X	X
1013539	33	64	F	1	0	X	X
619140	33	14	F	1	0	X	X
761841	33	36	F	1	0	X	X
697807	33	29	F	1	0	X	X
665831	33	23	F	1	0	X	X
396725	33	55	M	1	0	X	X
965915	33	59	F	1	0	X	X
721652	33	32	F	1	0	X	X
1152324	33	88	F	1	0	X	X
221164	33	34	M	1	0	X	X
5206	33	1	M	1	0	X	X
280985	33	40	M	1	0	X	X
252253	33	37	M	1	0	X	X
487718	33	69	M	1	0	X	X
566400	33	6	F	1	0	X	X
1023106	33	65	F	1	0	X	X
298437	33	42	M	1	0	X	X
670602	33	24	F	1	0	X	X
1077069	33	71	F	1	0	X	X
1077068	33	71	F	1	0	X	X
740915	33	34	F	1	0	X	X
1023105	33	65	F	1	0	X	X
137452	33	22	M	1	0	X	X
1119013	33	78	F	1	0	X	X
252254	33	37	M	1	0	X	X
712891	33	31	F	1	0	X	X
847665	33	45	F	1	0	X	X
838732	33	44	F	1	0	X	X
470654	33	66	M	1	0	X	X
782085	33	38	F	1	0	X	X
451738	33	63	M	1	0	X	X
147745	33	24	M	1	0	X	X
553145	33	4	F	1	0	X	X
661248	33	22	F	1	0	X	X
661247	33	22	F	1	0	X	X
103989	33	16	M	1	0	X	X
811067	33	41	F	1	0	X	X
1041481	33	67	F	1	0	X	X
751434	33	35	F	1	0	X	X
