	sp_id	stcotrbg	hh_race	hh_income	hh_size	latitude	longitude	location	mo_name
7856	7857	190000	1	0.0	7	53.181666832	50.179550053	POINT (50.179550053 53.181666832)	Железнодорожный район
7897	7898	190000	1	0.0	6	53.181749803	50.132129113	POINT (50.132129113 53.181749803)	Железнодорожный район
5255	5256	190000	1	0.0	4	53.173165418	50.157019585	POINT (50.157019585 53.173165418)	Железнодорожный район
9779	9780	190000	1	0.0	5	53.185241128	50.18867869	POINT (50.18867869 53.185241128)	Железнодорожный район
12607	12608	190000	1	0.0	84	53.19855255	50.16975215	POINT (50.16975215 53.19855255)	Железнодорожный район
11725	11726	190000	1	0.0	35	53.193516526	50.178267422	POINT (50.178267422 53.193516526)	Железнодорожный район
9688	9689	190000	1	0.0	6	53.184934148	50.153580833	POINT (50.153580833 53.184934148)	Железнодорожный район
7502	7503	190000	1	0.0	5	53.18104135	50.1293909	POINT (50.1293909 53.18104135)	Железнодорожный район
8925	8926	190000	1	0.0	16	53.183313586	50.154824898	POINT (50.154824898 53.183313586)	Железнодорожный район
8612	8613	190000	1	0.0	5	53.182791914	50.156197894	POINT (50.156197894 53.182791914)	Железнодорожный район
5759	5760	190000	1	0.0	2	53.176065369	50.171512606	POINT (50.171512606 53.176065369)	Железнодорожный район
6103	6104	190000	1	0.0	16	53.177398223	50.170318991	POINT (50.170318991 53.177398223)	Железнодорожный район
10182	10183	190000	1	0.0	7	53.186758378	50.181473063	POINT (50.181473063 53.186758378)	Железнодорожный район
9062	9063	190000	1	0.0	4	53.183553878	50.120408078	POINT (50.120408078 53.183553878)	Железнодорожный район
5121	5122	190000	1	0.0	8	53.172085578	50.168921445	POINT (50.168921445 53.172085578)	Железнодорожный район
7082	7083	190000	1	0.0	8	53.180295061	50.130686376	POINT (50.130686376 53.180295061)	Железнодорожный район
7342	7343	190000	1	0.0	9	53.180785365	50.127460824	POINT (50.127460824 53.180785365)	Железнодорожный район
8373	8374	190000	1	0.0	2	53.182417024	50.131244034	POINT (50.131244034 53.182417024)	Железнодорожный район
7636	7637	190000	1	0.0	7	53.181280343	50.123584873	POINT (50.123584873 53.181280343)	Железнодорожный район
9781	9782	190000	1	0.0	8	53.185242578	50.189844799	POINT (50.189844799 53.185242578)	Железнодорожный район
6064	6065	190000	1	0.0	10	53.177243424	50.175296661	POINT (50.175296661 53.177243424)	Железнодорожный район
7255	7256	190000	1	0.0	2	53.180653496	50.130169962	POINT (50.130169962 53.180653496)	Железнодорожный район
8097	8098	190000	1	0.0	7	53.182033572	50.122896148	POINT (50.122896148 53.182033572)	Железнодорожный район
8575	8576	190000	1	0.0	10	53.182730262	50.128318188	POINT (50.128318188 53.182730262)	Железнодорожный район
6340	6341	190000	1	0.0	4	53.178241051	50.179179968	POINT (50.179179968 53.178241051)	Железнодорожный район
5675	5676	190000	1	0.0	12	53.175742084	50.187137287	POINT (50.187137287 53.175742084)	Железнодорожный район
8224	8225	190000	1	0.0	7	53.182209	50.1123205	POINT (50.1123205 53.182209)	Железнодорожный район
6302	6303	190000	1	0.0	9	53.178102876	50.144697445	POINT (50.144697445 53.178102876)	Железнодорожный район
11886	11887	190000	1	0.0	150	53.194470346	50.16349935	POINT (50.16349935 53.194470346)	Железнодорожный район
6945	6946	190000	1	0.0	5	53.179943033	50.16914316	POINT (50.16914316 53.179943033)	Железнодорожный район
8869	8870	190000	1	0.0	6	53.183223994	50.123227801	POINT (50.123227801 53.183223994)	Железнодорожный район
10295	10296	190000	1	0.0	120	53.187224376	50.122231008	POINT (50.122231008 53.187224376)	Железнодорожный район
9380	9381	190000	1	0.0	7	53.184116485	50.188779379	POINT (50.188779379 53.184116485)	Железнодорожный район
7134	7135	190000	1	0.0	7	53.180413181	50.187474834	POINT (50.187474834 53.180413181)	Железнодорожный район
11605	11606	190000	1	0.0	9	53.192900149	50.133182668	POINT (50.133182668 53.192900149)	Железнодорожный район
6732	6733	190000	1	0.0	11	53.179335143	50.139693174	POINT (50.139693174 53.179335143)	Железнодорожный район
8436	8437	190000	1	0.0	9	53.182510094	50.18895081	POINT (50.18895081 53.182510094)	Железнодорожный район
7525	7526	190000	1	0.0	7	53.18108185	50.13435045	POINT (50.13435045 53.18108185)	Железнодорожный район
9156	9157	190000	1	0.0	11	53.1837071	50.180682957	POINT (50.180682957 53.1837071)	Железнодорожный район
8400	8401	190000	1	0.0	14	53.182457454	50.184388668	POINT (50.184388668 53.182457454)	Железнодорожный район
6486	6487	190000	1	0.0	9	53.178735139	50.167049689	POINT (50.167049689 53.178735139)	Железнодорожный район
8845	8846	190000	1	0.0	9	53.183183899	50.113102796	POINT (50.113102796 53.183183899)	Железнодорожный район
6070	6071	190000	1	0.0	12	53.177264644	50.182552359	POINT (50.182552359 53.177264644)	Железнодорожный район
6589	6590	190000	1	0.0	5	53.179005132	50.154218907	POINT (50.154218907 53.179005132)	Железнодорожный район
6468	6469	190000	1	0.0	14	53.178688843	50.155080009	POINT (50.155080009 53.178688843)	Железнодорожный район
12459	12460	190000	1	0.0	46	53.198093385	50.18457056	POINT (50.18457056 53.198093385)	Железнодорожный район
5559	5560	190000	1	0.0	4	53.175230405	50.166066334	POINT (50.166066334 53.175230405)	Железнодорожный район
5457	5458	190000	1	0.0	6	53.1746497	50.1875518	POINT (50.1875518 53.1746497)	Железнодорожный район
6446	6447	190000	1	0.0	8	53.178606808	50.187985997	POINT (50.187985997 53.178606808)	Железнодорожный район
5478	5479	190000	1	0.0	4	53.174775364	50.174530621	POINT (50.174530621 53.174775364)	Железнодорожный район
9275	9276	190000	1	0.0	8	53.183920086	50.109000106	POINT (50.109000106 53.183920086)	Железнодорожный район
6758	6759	190000	1	0.0	3	53.179397668	50.169035194	POINT (50.169035194 53.179397668)	Железнодорожный район
9277	9278	190000	1	0.0	9	53.183922318	50.188372669	POINT (50.188372669 53.183922318)	Железнодорожный район
8359	8360	190000	1	0.0	5	53.182399553	50.125973077	POINT (50.125973077 53.182399553)	Железнодорожный район
6112	6113	190000	1	0.0	13	53.177441924	50.169043984	POINT (50.169043984 53.177441924)	Железнодорожный район
7031	7032	190000	1	0.0	8	53.18016805	50.1310779	POINT (50.1310779 53.18016805)	Железнодорожный район
7864	7865	190000	1	0.0	11	53.181685473	50.12630496	POINT (50.12630496 53.181685473)	Железнодорожный район
7133	7134	190000	1	0.0	5	53.18040875	50.18947025	POINT (50.18947025 53.18040875)	Железнодорожный район
5064	5065	190000	1	0.0	12	53.171354286	50.163867928	POINT (50.163867928 53.171354286)	Железнодорожный район
5705	5706	190000	1	0.0	15	53.175844132	50.149968644	POINT (50.149968644 53.175844132)	Железнодорожный район
8444	8445	190000	1	0.0	6	53.1825186	50.12822545	POINT (50.12822545 53.1825186)	Железнодорожный район
7734	7735	190000	1	0.0	3	53.181451221	50.112261575	POINT (50.112261575 53.181451221)	Железнодорожный район
6448	6449	190000	1	0.0	4	53.178612965	50.153364013	POINT (50.153364013 53.178612965)	Железнодорожный район
7875	7876	190000	1	0.0	1	53.181703556	50.182965902	POINT (50.182965902 53.181703556)	Железнодорожный район
6147	6148	190000	1	0.0	4	53.177555402	50.166568858	POINT (50.166568858 53.177555402)	Железнодорожный район
5286	5287	190000	1	0.0	33	53.1733869	50.1903414	POINT (50.1903414 53.1733869)	Железнодорожный район
5691	5692	190000	1	0.0	6	53.1758092	50.15106045	POINT (50.15106045 53.1758092)	Железнодорожный район
5199	5200	190000	1	0.0	4	53.172739087	50.158797065	POINT (50.158797065 53.172739087)	Железнодорожный район
6934	6935	190000	1	0.0	4	53.179915897	50.129821082	POINT (50.129821082 53.179915897)	Железнодорожный район
5862	5863	190000	1	0.0	10	53.176461094	50.18646259	POINT (50.18646259 53.176461094)	Железнодорожный район
8936	8937	190000	1	0.0	3	53.183329989	50.111468485	POINT (50.111468485 53.183329989)	Железнодорожный район
8603	8604	190000	1	0.0	7	53.182776867	50.15726434	POINT (50.15726434 53.182776867)	Железнодорожный район
10393	10394	190000	1	0.0	4	53.187658104	50.153135949	POINT (50.153135949 53.187658104)	Железнодорожный район
5566	5567	190000	1	0.0	18	53.17526355	50.15191495	POINT (50.15191495 53.17526355)	Железнодорожный район
5321	5322	190000	1	0.0	6	53.173681792	50.155531278	POINT (50.155531278 53.173681792)	Железнодорожный район
5936	5937	190000	1	0.0	4	53.176756357	50.170846653	POINT (50.170846653 53.176756357)	Железнодорожный район
5491	5492	190000	1	0.0	2	53.174854704	50.188222369	POINT (50.188222369 53.174854704)	Железнодорожный район
8439	8440	190000	1	0.0	1	53.182512	50.13416285	POINT (50.13416285 53.182512)	Железнодорожный район
8953	8954	190000	1	0.0	5	53.183361765	50.123445242	POINT (50.123445242 53.183361765)	Железнодорожный район
10953	10954	190000	1	0.0	81	53.189910183	50.133313561	POINT (50.133313561 53.189910183)	Железнодорожный район
5690	5691	190000	1	0.0	5	53.175809004	50.166916182	POINT (50.166916182 53.175809004)	Железнодорожный район
8708	8709	190000	1	0.0	5	53.18294885	50.17954745	POINT (50.17954745 53.18294885)	Железнодорожный район
5895	5896	190000	1	0.0	4	53.176585298	50.185127132	POINT (50.185127132 53.176585298)	Железнодорожный район
11845	11846	190000	1	0.0	103	53.194195885	50.165783719	POINT (50.165783719 53.194195885)	Железнодорожный район
7309	7310	190000	1	0.0	2	53.18073265	50.12834675	POINT (50.12834675 53.18073265)	Железнодорожный район
6587	6588	190000	1	0.0	3	53.178999895	50.133136024	POINT (50.133136024 53.178999895)	Железнодорожный район
7102	7103	190000	1	0.0	2	53.180340767	50.1549686	POINT (50.1549686 53.180340767)	Железнодорожный район
10628	10629	190000	1	0.0	61	53.1885615	50.1307179	POINT (50.1307179 53.1885615)	Железнодорожный район
11466	11467	190000	1	0.0	203	53.19220187	50.168833971	POINT (50.168833971 53.19220187)	Железнодорожный район
9882	9883	190000	1	0.0	11	53.185633808	50.187743789	POINT (50.187743789 53.185633808)	Железнодорожный район
10945	10946	190000	1	0.0	53	53.1898861	50.132647866	POINT (50.132647866 53.1898861)	Железнодорожный район
12643	12644	190000	1	0.0	123	53.198722528	50.166481002	POINT (50.166481002 53.198722528)	Железнодорожный район
5444	5445	190000	1	0.0	10	53.174569648	50.176614259	POINT (50.176614259 53.174569648)	Железнодорожный район
6155	6156	190000	1	0.0	9	53.177589266	50.170128077	POINT (50.170128077 53.177589266)	Железнодорожный район
5118	5119	190000	1	0.0	15	53.172047951	50.160490659	POINT (50.160490659 53.172047951)	Железнодорожный район
5670	5671	190000	1	0.0	4	53.17572365	50.19116345	POINT (50.19116345 53.17572365)	Железнодорожный район
6364	6365	190000	1	0.0	21	53.178323211	50.170602404	POINT (50.170602404 53.178323211)	Железнодорожный район
5244	5245	190000	1	0.0	10	53.17309831	50.165806552	POINT (50.165806552 53.17309831)	Железнодорожный район
8234	8235	190000	1	0.0	13	53.182217601	50.157484403	POINT (50.157484403 53.182217601)	Железнодорожный район
6966	6967	190000	1	0.0	5	53.17999006	50.156246338	POINT (50.156246338 53.17999006)	Железнодорожный район
5289	5290	190000	1	0.0	3	53.17339665	50.15626815	POINT (50.15626815 53.17339665)	Железнодорожный район
12619	12620	190000	1	0.0	3	53.1986015	50.18661125	POINT (50.18661125 53.1986015)	Железнодорожный район
5746	5747	190000	1	0.0	5	53.176021814	50.189851826	POINT (50.189851826 53.176021814)	Железнодорожный район
6063	6064	190000	1	0.0	4	53.177241957	50.180453008	POINT (50.180453008 53.177241957)	Железнодорожный район
10805	10806	190000	1	0.0	166	53.18929705	50.1420632	POINT (50.1420632 53.18929705)	Железнодорожный район
6891	6892	190000	1	0.0	8	53.17977945	50.177858103	POINT (50.177858103 53.17977945)	Железнодорожный район
9793	9794	190000	1	0.0	5	53.185292799	50.187747093	POINT (50.187747093 53.185292799)	Железнодорожный район
5820	5821	190000	1	0.0	3	53.1763115	50.149419983	POINT (50.149419983 53.1763115)	Железнодорожный район
9057	9058	190000	1	0.0	12	53.183542979	50.120596545	POINT (50.120596545 53.183542979)	Железнодорожный район
6688	6689	190000	1	0.0	8	53.179207223	50.172150502	POINT (50.172150502 53.179207223)	Железнодорожный район
6843	6844	190000	1	0.0	4	53.179653683	50.13238279	POINT (50.13238279 53.179653683)	Железнодорожный район
11478	11479	190000	1	0.0	154	53.192247149	50.130454716	POINT (50.130454716 53.192247149)	Железнодорожный район
6588	6589	190000	1	0.0	9	53.1790023	50.163254	POINT (50.163254 53.1790023)	Железнодорожный район
6706	6707	190000	1	0.0	2	53.179255973	50.154211741	POINT (50.154211741 53.179255973)	Железнодорожный район
6014	6015	190000	1	0.0	7	53.177039779	50.175443339	POINT (50.175443339 53.177039779)	Железнодорожный район
5939	5940	190000	1	0.0	17	53.176764689	50.182446147	POINT (50.182446147 53.176764689)	Железнодорожный район
5714	5715	190000	1	0.0	14	53.175891483	50.174296818	POINT (50.174296818 53.175891483)	Железнодорожный район
11565	11566	190000	1	0.0	23	53.1926891	50.15480145	POINT (50.15480145 53.1926891)	Железнодорожный район
5894	5895	190000	1	0.0	6	53.17658405	50.14866265	POINT (50.14866265 53.17658405)	Железнодорожный район
8655	8656	190000	1	0.0	7	53.182859138	50.130417974	POINT (50.130417974 53.182859138)	Железнодорожный район
9993	9994	190000	1	0.0	4	53.1860208	50.18721435	POINT (50.18721435 53.1860208)	Железнодорожный район
8361	8362	190000	1	0.0	4	53.182404113	50.13015798	POINT (50.13015798 53.182404113)	Железнодорожный район
5311	5312	190000	1	0.0	11	53.173630561	50.192048066	POINT (50.192048066 53.173630561)	Железнодорожный район
5609	5610	190000	1	0.0	6	53.175454937	50.180719023	POINT (50.180719023 53.175454937)	Железнодорожный район
7089	7090	190000	1	0.0	14	53.180310914	50.153108495	POINT (50.153108495 53.180310914)	Железнодорожный район
5097	5098	190000	1	0.0	4	53.171813117	50.16919741	POINT (50.16919741 53.171813117)	Железнодорожный район
8250	8251	190000	1	0.0	4	53.182250477	50.126389683	POINT (50.126389683 53.182250477)	Железнодорожный район
7543	7544	190000	1	0.0	12	53.181131837	50.188691492	POINT (50.188691492 53.181131837)	Железнодорожный район
8540	8541	190000	1	0.0	3	53.1826776	50.15639325	POINT (50.15639325 53.1826776)	Железнодорожный район
7036	7037	190000	1	0.0	6	53.1801793	50.1883015	POINT (50.1883015 53.1801793)	Железнодорожный район
6193	6194	190000	1	0.0	6	53.177699998	50.155025868	POINT (50.155025868 53.177699998)	Железнодорожный район
5587	5588	190000	1	0.0	4	53.175352273	50.166187631	POINT (50.166187631 53.175352273)	Железнодорожный район
5362	5363	190000	1	0.0	262	53.173950924	50.191140056	POINT (50.191140056 53.173950924)	Железнодорожный район
8992	8993	190000	1	0.0	8	53.183439583	50.158712406	POINT (50.158712406 53.183439583)	Железнодорожный район
7553	7554	190000	1	0.0	13	53.181145411	50.154306535	POINT (50.154306535 53.181145411)	Железнодорожный район
10344	10345	190000	1	0.0	39	53.18740157	50.113506503	POINT (50.113506503 53.18740157)	Железнодорожный район
6541	6542	190000	1	0.0	12	53.178893008	50.153992031	POINT (50.153992031 53.178893008)	Железнодорожный район
5719	5720	190000	1	0.0	5	53.175929771	50.1670314	POINT (50.1670314 53.175929771)	Железнодорожный район
5298	5299	190000	1	0.0	5	53.173497197	50.158076196	POINT (50.158076196 53.173497197)	Железнодорожный район
7480	7481	190000	1	0.0	6	53.181006317	50.148869034	POINT (50.148869034 53.181006317)	Железнодорожный район
6558	6559	190000	1	0.0	1	53.178929844	50.151756956	POINT (50.151756956 53.178929844)	Железнодорожный район
5156	5157	190000	1	0.0	3	53.172384101	50.170163883	POINT (50.170163883 53.172384101)	Железнодорожный район
7742	7743	190000	1	0.0	2	53.181472019	50.18290241	POINT (50.18290241 53.181472019)	Железнодорожный район
6361	6362	190000	1	0.0	3	53.1783175	50.18296375	POINT (50.18296375 53.1783175)	Железнодорожный район
6795	6796	190000	1	0.0	4	53.1795185	50.1364934	POINT (50.1364934 53.1795185)	Железнодорожный район
8302	8303	190000	1	0.0	5	53.182325244	50.132830682	POINT (50.132830682 53.182325244)	Железнодорожный район
6138	6139	190000	1	0.0	1	53.17753395	50.15486845	POINT (50.15486845 53.17753395)	Железнодорожный район
7410	7411	190000	1	0.0	5	53.180894224	50.131299681	POINT (50.131299681 53.180894224)	Железнодорожный район
10416	10417	190000	1	0.0	5	53.187737455	50.149932079	POINT (50.149932079 53.187737455)	Железнодорожный район
5775	5776	190000	1	0.0	6	53.176123548	50.148669203	POINT (50.148669203 53.176123548)	Железнодорожный район
5389	5390	190000	1	0.0	6	53.1742012	50.18287405	POINT (50.18287405 53.1742012)	Железнодорожный район
5695	5696	190000	1	0.0	3	53.175813653	50.182816369	POINT (50.182816369 53.175813653)	Железнодорожный район
10431	10432	190000	1	0.0	218	53.1877827	50.188243551	POINT (50.188243551 53.1877827)	Железнодорожный район
5072	5073	190000	1	0.0	7	53.17144915	50.1730973	POINT (50.1730973 53.17144915)	Железнодорожный район
6597	6598	190000	1	0.0	1	53.179021742	50.133417124	POINT (50.133417124 53.179021742)	Железнодорожный район
5223	5224	190000	1	0.0	12	53.172929199	50.181069923	POINT (50.181069923 53.172929199)	Железнодорожный район
11517	11518	190000	1	0.0	26	53.19241695	50.12729145	POINT (50.12729145 53.19241695)	Железнодорожный район
10574	10575	190000	1	0.0	110	53.18836035	50.14280975	POINT (50.14280975 53.18836035)	Железнодорожный район
7996	7997	190000	1	0.0	10	53.181892328	50.179509981	POINT (50.179509981 53.181892328)	Железнодорожный район
6125	6126	190000	1	0.0	11	53.177469562	50.179708179	POINT (50.179708179 53.177469562)	Железнодорожный район
5578	5579	190000	1	0.0	6	53.175295122	50.177164362	POINT (50.177164362 53.175295122)	Железнодорожный район
9105	9106	190000	1	0.0	6	53.18362441	50.17905028	POINT (50.17905028 53.18362441)	Железнодорожный район
12051	12052	190000	1	0.0	111	53.195707288	50.16133043	POINT (50.16133043 53.195707288)	Железнодорожный район
6066	6067	190000	1	0.0	2	53.1772585	50.17036355	POINT (50.17036355 53.1772585)	Железнодорожный район
8712	8713	190000	1	0.0	14	53.182951676	50.190347369	POINT (50.190347369 53.182951676)	Железнодорожный район
6441	6442	190000	1	0.0	13	53.178602094	50.18149963	POINT (50.18149963 53.178602094)	Железнодорожный район
7088	7089	190000	1	0.0	6	53.1803087	50.1774285	POINT (50.1774285 53.1803087)	Железнодорожный район
6389	6390	190000	1	0.0	7	53.178420722	50.169914262	POINT (50.169914262 53.178420722)	Железнодорожный район
5131	5132	190000	1	0.0	20	53.1721524	50.18443235	POINT (50.18443235 53.1721524)	Железнодорожный район
8576	8577	190000	1	0.0	6	53.182730656	50.185192818	POINT (50.185192818 53.182730656)	Железнодорожный район
8670	8671	190000	1	0.0	5	53.182879905	50.132156454	POINT (50.132156454 53.182879905)	Железнодорожный район
5182	5183	190000	1	0.0	5	53.172583059	50.160216392	POINT (50.160216392 53.172583059)	Железнодорожный район
7352	7353	190000	1	0.0	11	53.180799795	50.162066305	POINT (50.162066305 53.180799795)	Железнодорожный район
5133	5134	190000	1	0.0	9	53.17218955	50.1665783	POINT (50.1665783 53.17218955)	Железнодорожный район
5660	5661	190000	1	0.0	6	53.175665039	50.166245294	POINT (50.166245294 53.175665039)	Железнодорожный район
11868	11869	190000	1	0.0	93	53.194344248	50.134258361	POINT (50.134258361 53.194344248)	Железнодорожный район
8321	8322	190000	1	0.0	5	53.182350346	50.186541561	POINT (50.186541561 53.182350346)	Железнодорожный район
5186	5187	190000	1	0.0	9	53.172624932	50.178734	POINT (50.178734 53.172624932)	Железнодорожный район
6514	6515	190000	1	0.0	8	53.178823033	50.164743207	POINT (50.164743207 53.178823033)	Железнодорожный район
5742	5743	190000	1	0.0	17	53.176009653	50.168814558	POINT (50.168814558 53.176009653)	Железнодорожный район
9232	9233	190000	1	0.0	6	53.183842845	50.191027228	POINT (50.191027228 53.183842845)	Железнодорожный район
6559	6560	190000	1	0.0	2	53.1789318	50.1356466	POINT (50.1356466 53.1789318)	Железнодорожный район
5085	5086	190000	1	0.0	9	53.171649753	50.167521782	POINT (50.167521782 53.171649753)	Железнодорожный район
8251	8252	190000	1	0.0	3	53.182251155	50.186202668	POINT (50.186202668 53.182251155)	Железнодорожный район
7921	7922	190000	1	0.0	5	53.1817787	50.13071525	POINT (50.13071525 53.1817787)	Железнодорожный район
9578	9579	190000	1	0.0	16	53.184612992	50.180849729	POINT (50.180849729 53.184612992)	Железнодорожный район
8479	8480	190000	1	0.0	18	53.182579246	50.182579074	POINT (50.182579074 53.182579246)	Железнодорожный район
7357	7358	190000	1	0.0	1	53.180817435	50.149524569	POINT (50.149524569 53.180817435)	Железнодорожный район
8175	8176	190000	1	0.0	5	53.182142913	50.187299558	POINT (50.187299558 53.182142913)	Железнодорожный район
11383	11384	190000	1	0.0	107	53.1918244	50.14948385	POINT (50.14948385 53.1918244)	Железнодорожный район
6782	6783	190000	1	0.0	5	53.179451916	50.132626214	POINT (50.132626214 53.179451916)	Железнодорожный район
8805	8806	190000	1	0.0	3	53.183113971	50.187568271	POINT (50.187568271 53.183113971)	Железнодорожный район
6347	6348	190000	1	0.0	9	53.1782699	50.1441259	POINT (50.1441259 53.1782699)	Железнодорожный район
5212	5213	190000	1	0.0	24	53.172828665	50.192436963	POINT (50.192436963 53.172828665)	Железнодорожный район
6749	6750	190000	1	0.0	2	53.17937383	50.150290313	POINT (50.150290313 53.17937383)	Железнодорожный район
